match_id,competition_id,season_id,stage,matchday,date,kickoff,venue_id,home_team_id,away_team_id,home_goals,away_goals,status,awarded_note,source_type,source_ref,reported_by,reported_at,confidence,verified_by,verified_at,extra_time,home_pens,away_pens,referee,assistant_referee_1,assistant_referee_2,fourth_official,home_coach,away_coach,referee_id,assistant_referee_1_id,assistant_referee_2_id,fourth_official_id,home_coach_id,away_coach_id
MW_NDL_2627_036,MW_NDL,MW_2026_27,md_6,6,2026-07-01,,MW_B_001,MW_CBWE_M1,MW_MCH_M1,3,0,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_NDL_2627_037,MW_NDL,MW_2026_27,md_7,7,2026-07-04,,MW_MZ_001,MW_EU_M1,MW_NS_M1,2,1,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_NDL_2627_038,MW_NDL,MW_2026_27,md_7,7,2026-07-04,,MW_Z_001,MW_CB_M1,MW_NZ_M1,1,1,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_NDL_2627_039,MW_NDL,MW_2026_27,md_7,7,2026-07-05,,MW_MCJ_002,MW_EXFC_M1,MW_BAS_M1,1,0,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_NDL_2627_040,MW_NDL,MW_2026_27,md_7,7,2026-07-05,,MW_BAL_001,MW_NU_M1,MW_FFC_M1,1,2,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_NDL_2627_041,MW_NDL,MW_2026_27,md_7,7,2026-07-05,,MW_KAR_001,MW_SBU_M1,MW_CBWE_M1,2,0,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_NDL_2627_042,MW_NDL,MW_2026_27,md_7,7,2026-07-05,,MW_RU_001,MW_MCH_M1,MW_MT_M1,4,0,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_NRFA_2627_001,MW_NRFA,MW_2026_27,md_1,1,2026-07-04,,MW_CWZA_G,MW_CHIN_M1,MW_MAFU_M1,2,2,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_NRFA_2627_002,MW_NRFA,MW_2026_27,md_1,1,2026-07-14,14:30:00,MW_CHITE_G,MW_CZU_M1,MW_CAS_M1,3,1,played,,facebook,https://www.facebook.com/share/p/18uEhFeVVz/,,2026-07-16T02:02:00+00:00,confirmed,,,,,,,,,,,,,,,,,
MW_NRFA_2627_004,MW_NRFA,MW_2026_27,md_1,1,2026-07-11,,MW_BOTA_G,MW_VSA_M1,MW_RFC_M1,4,3,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_NRFA_2627_003,MW_NRFA,MW_2026_27,md_1,1,2026-07-11,,MW_CHIB_G,MW_CRS_M1,MW_LUMA_M1,3,0,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_NRFA_2627_005,MW_NRFA,MW_2026_27,md_1,1,2026-07-12,,MW_MAJA_G,MW_CHB_M1,MW_EKW_M1,2,1,played,,facebook,https://www.facebook.com/share/p/1QHBYY6coH/,,,confirmed,,,,,,,,,,,,,,,,,
MW_NRFA_2627_006,MW_NRFA,MW_2026_27,md_1,1,2026-07-12,,MW_CBJ_G,MW_MMW_M1,MW_EV_M1,2,1,played,,facebook,https://www.facebook.com/share/p/1QHBYY6coH/,,,confirmed,,,,,,,,,,,,,,,,,
MW_NRFA_2627_007,MW_NRFA,MW_2026_27,md_1,1,2026-07-12,,MW_LUVI_G,MW_LVFC_M1,MW_JU_M1,0,1,played,,facebook,https://www.facebook.com/share/p/1QHBYY6coH/,,,confirmed,,,,,,,,,,,,,,,,,
MW_SL_2627_001,MW_SL,MW_2026_27,md_1,1,2026-04-25,,MW_L_001,MW_CSU_M1,MW_BULL_M1,2,2,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_KU19_2627_047,MW_KU19,MW_2026_27,md_4,4,2026-07-26,,,MW_GS_MU19,MW_SM_MU19,0,4,played,,reporter,https://www.facebook.com/share/p/1BuNiCNi2H/,MW_REP_001,2026-08-16T07:49:06.237679+00:00,confirmed,MW_REP_001,2026-08-16T07:49:06.237679+00:00,,,,,,,,,,,,,,,
MW_SL_2627_002,MW_SL,MW_2026_27,md_1,1,2026-04-25,,MW_RU_001,MW_MB_M1,MW_DD_M1,0,0,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_KU19_2627_048,MW_KU19,MW_2026_27,md_4,4,2026-07-26,,,MW_ND_MU19,MW_EFC_U19,0,2,played,,reporter,https://www.facebook.com/share/p/1BuNiCNi2H/,MW_REP_001,2026-08-16T00:44:58.406048+00:00,confirmed,MW_REP_001,2026-08-16T00:44:58.406048+00:00,,,,,,,,,,,,,,,
MW_SL_2627_003,MW_SL,MW_2026_27,md_1,1,2026-04-25,,MW_MP_001,MW_KB_M1,MW_SS_M1,0,2,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_KU19_2627_049,MW_KU19,MW_2026_27,md_4,4,2026-07-26,,,MW_A_MU19,MW_CCS_MU19,1,2,played,,reporter,https://www.facebook.com/share/p/1BuNiCNi2H/,MW_REP_001,2026-08-16T00:44:42.140481+00:00,confirmed,MW_REP_001,2026-08-16T00:44:42.140481+00:00,,,,,,,,,,,,,,,
MW_SL_2627_004,MW_SL,MW_2026_27,md_1,1,2026-04-26,,MW_MP_001,MW_MAFC_M1,MW_LM_M1,1,1,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_SL_2627_005,MW_SL,MW_2026_27,md_1,1,2026-04-26,,MW_Z_001,MW_REDL_M1,MW_CS_M1,1,1,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_SL_2627_006,MW_SL,MW_2026_27,md_1,1,2026-04-26,,MW_L_002,MW_BLUE_M1,MW_EFC_M1,2,1,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_SL_2627_007,MW_SL,MW_2026_27,md_1,1,2026-04-26,,MW_L_003,MW_MFC_M1,MW_CU_M1,1,0,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_SL_2627_008,MW_SL,MW_2026_27,md_1,1,2026-05-27,,MW_B_001,MW_MW_M1,MW_KU_M1,4,1,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_SL_2627_009,MW_SL,MW_2026_27,md_2,2,2026-05-02,,MW_D_001,MW_LM_M1,MW_KB_M1,1,0,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
