goal_id,match_id,team_id,player_name,player_id,minute,stoppage,period,goal_type,assist_player_id,source_type,source_ref,reported_by,reported_at,confidence,verified_by,verified_at
11,9,MW_M,Mayele Malango,CAF_MW_000526,25,,1h,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_national_football_team#2036,,,,,
86,41,CAMEROON,Naomi Eto,,29,,,,,,,,,,,
12,11,BOTSWANA_M,Kamogelo Moloi,INT_BOT_MOLOI,66,,2h,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_national_football_team#2037,,,,,
13,12,ETHIOPIA_M,Fitsum Tilahun,INT_ETH_TILAHUN,1,,1h,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_national_football_team#2038,,,,,
14,13,MW_M,Babatunde Adepoju,CAF_MW_000522,19,,1h,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_national_football_team#2039,,,,,
16,20,MW_W,Tabitha Chawinga,CAF_MW_000503,27,,1h,penalty,,wikipedia,https://en.wikipedia.org/wiki/Malawi_women's_national_football_team#Results_and_fixtures,,,,,
17,20,MW_W,Rose Kadzere,CAF_MW_000513,35,,1h,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_women's_national_football_team#Results_and_fixtures,,,,,
18,20,MOROCCO_W,Bernadette Mkandawire,MW_W_003,40,,1h,own goal,,wikipedia,https://en.wikipedia.org/wiki/Malawi_women's_national_football_team#Results_and_fixtures,,,,,
19,20,MOROCCO_W,Sakina Ouzraoui,W_INT_MOR_001,42,,1h,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_women's_national_football_team#Results_and_fixtures,,,,,
20,20,MOROCCO_W,Ibtissam Jraïdi,W_INT_MOR_002,56,,2h,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_women's_national_football_team#Results_and_fixtures,,,,,
21,20,MOROCCO_W,Kenza Chapelle,W_INT_MOR_003,90,2,2h,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_women's_national_football_team#Results_and_fixtures,,,,,
22,21,MW_W,Tendai Sani,CAF_MW_000536,15,,1h,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_women's_national_football_team#Results_and_fixtures,,,,,
23,21,GHANA_W,Doris Boaduwaa,W_INT_GHANA_001,23,,1h,penalty,,wikipedia,https://en.wikipedia.org/wiki/Malawi_women's_national_football_team#Results_and_fixtures,,,,,
24,21,GHANA_W,Doris Boaduwaa,W_INT_GHANA_001,32,,1h,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_women's_national_football_team#Results_and_fixtures,,,,,
